filename,width,height,class,xmin,ymin,xmax,ymax
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,R,17,712,80,795
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,B,217,707,280,794
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,Q,308,707,392,793
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,K,408,706,491,793
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,B,517,707,580,793
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,R,719,714,781,795
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,P,21,620,78,694
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,P,121,620,178,694
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,P,522,619,579,693
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,P,621,620,678,694
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,P,722,619,779,693
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,P,322,418,379,492
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,P,221,520,278,594
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,P,422,320,479,394
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,N,312,607,386,693
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,N,513,509,585,594
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,p,21,120,79,192
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,p,120,222,178,294
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,p,220,121,278,193
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,p,420,221,478,293
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,p,320,321,378,393
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,p,520,121,578,193
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,p,620,121,678,193
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,p,720,122,778,194
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,q,308,108,392,193
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,b,416,105,481,193
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,r,18,13,81,94
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,n,113,9,185,94
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,n,613,8,685,93
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,b,218,6,280,94
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,k,408,6,492,93
www.chess.com_analysis_game_live_17620852077_tab=analysis (1).png,800,800,r,716,14,782,94
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,R,18,714,83,795
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,B,218,707,281,794
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,Q,308,708,392,794
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,R,418,714,482,794
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,K,608,705,691,794
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,P,20,620,80,694
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,P,118,620,178,694
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,P,217,520,277,594
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,P,518,619,578,693
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,P,619,619,679,693
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,P,719,620,779,694
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,N,313,608,386,694
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,N,313,508,387,594
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,P,419,320,481,394
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,p,321,421,379,494
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,p,320,320,379,394
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,p,421,220,479,293
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,p,520,121,578,194
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,p,620,121,678,194
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,p,720,120,778,193
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,p,120,220,178,293
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,p,20,122,78,195
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,n,11,208,86,295
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,q,308,107,392,194
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,n,412,109,486,194
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,r,17,13,83,95
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,k,408,3,492,95
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,b,516,7,582,93
www.chess.com_analysis_game_live_17620852077_tab=analysis (2).png,800,800,r,717,14,785,95
www.chess.com_analysis_game_live_17620852077_tab=analysis (3).png,800,800,R,18,714,82,794
www.chess.com_analysis_game_live_17620852077_tab=analysis (3).png,800,800,R,417,713,484,794
www.chess.com_analysis_game_live_17620852077_tab=analysis (3).png,800,800,K,609,705,692,795
www.chess.com_analysis_game_live_17620852077_tab=analysis (3).png,800,800,P,21,620,81,694
www.chess.com_analysis_game_live_17620852077_tab=analysis (3).png,800,800,P,119,620,179,694
www.chess.com_analysis_game_live_17620852077_tab=analysis (3).png,800,800,P,519,620,579,694
www.chess.com_analysis_game_live_17620852077_tab=analysis (3).png,800,800,P,618,419,681,494
www.chess.com_analysis_game_live_17620852077_tab=analysis (3).png,800,800,P,421,320,480,395
www.chess.com_analysis_game_live_17620852077_tab=analysis (3).png,800,800,P,319,419,378,494
www.chess.com_analysis_game_live_17620852077_tab=analysis (3).png,800,800,B,316,607,383,693
www.chess.com_analysis_game_live_17620852077_tab=analysis (3).png,800,800,N,513,508,586,594
www.chess.com_analysis_game_live_17620852077_tab=analysis (3).png,800,800,p,320,320,379,394
www.chess.com_analysis_game_live_17620852077_tab=analysis (3).png,800,800,p,420,220,479,294
www.chess.com_analysis_game_live_17620852077_tab=analysis (3).png,800,800,p,519,120,578,194
www.chess.com_analysis_game_live_17620852077_tab=analysis (3).png,800,800,p,619,121,678,195
